Titre,URI de la circulaire,Identifiant unique de la circulaire,Type de document,Autres Références,Référence,Statut du texte,Lien vers le texte,Lien vers les annexes,Télécharger le document,Lien vers les annexes,Date de signature,Nature,Code SIAF,Date de signature ou de publication,Services administratifs concernés,Producteur(s),Date de modification,Date d'abrogation,Texte abrogatoire,Domaine archivistique,Contexte historique,Domaines (mots matières),Typologie documentaire,Domaines d'action,Modifie le(s) texte(s) suivant(s),Modifié par les textes suivants,Abroge le(s) texte(s) suivant(s)
Versement des papiers judiciaires [notification de la circulaire de la Chancellerie aux cours et juridictions],https://francearchives.gouv.fr/circulaire/AD_53_20,AD_53_20,,,,abrogée,,,https://francearchives.gouv.fr/file/d5e1d9238a01bc1ed6ecb5c8f3b0c2bfe25345ba/AD_53_20.pdf,,,Circulaire,AD 53-20,04/11/1953,"France. Cour d'appel
France. Cour d'assises (chef-lieu de département)
France. Tribunal de grande instance (commune, département)
France. Tribunal correctionnel
France. Tribunal d'instance (commune, département)
France. Tribunal de police (chef-lieu de canton, département)
France. Conseil de prud'hommes (commune, département)
France. Cour administrative d'appel
France. Tribunal administratif",,,04/04/1959,AD_59_13|,Circulaire de tri,,justice,,,AD_53_7,,
Mise au pilon des documents ayant servi de base au recensement de 1946,https://francearchives.gouv.fr/circulaire/INSEE_1954_01_28,INSEE_1954_01_28,Circulaire du directeur général de l'insee,sans référence,,caduc,,,https://francearchives.gouv.fr/file/9ad47fcea004d3e542e6f421b69731b678f2b0ad/28_01_1954.pdf,,,,,28/01/1954,Institut national de la statistique et des études économiques (France). Direction régionale (chef-lieu de région),INSEE,,,,Circulaire de tri,,population,questionnaire d'enquête,,,,
Mise au pilon des documents ayant servi de base au recensement de 1946,https://francearchives.gouv.fr/circulaire/INSEE_1954_02_04_1,INSEE_1954_02_04_1,Circulaire du directeur général de l'insee,sans référence,,caduc,,,,,04/02/1954,,,04/02/1954,Institut national de la statistique et des études économiques (France). Direction régionale (chef-lieu de région),INSEE,,,,Circulaire de tri,,population,questionnaire d'enquête,,,,
Versement des feuilles de ménages du recensement de 1946,https://francearchives.gouv.fr/circulaire/INSEE_1954_02_04_2,INSEE_1954_02_04_2,,,,caduc,,,https://francearchives.gouv.fr/file/170a6677a3eb417cb8355dca19d1dc65b91b0357/04_02_1954.pdf,,,Circulaire,sans référence,04/02/1954,Institut national de la statistique et des études économiques (France). Direction régionale (chef-lieu de région),INSEE,,,,Circulaire de tri,,population,questionnaire d'enquête,,,,
Versement par les directions régionales de la statistique des feuilles de ménage du recensement de 1946 et des feuilles d'exploitation agricole,https://francearchives.gouv.fr/circulaire/AD_54_3,AD_54_3,,,,caduc,,,https://francearchives.gouv.fr/file/26b86a86f1323c7a225d42232f9a3911249d1e3d/AD_54_3.pdf,,,Circulaire,AD 54-3,10/02/1954,Institut national de la statistique et des études économiques (France). Direction régionale (chef-lieu de région),INSEE,,,,Circulaire de tri,,population,questionnaire d'enquête,,,,
Conditions du versement des documents ayant servi au recensement de 1946,https://francearchives.gouv.fr/circulaire/INSEE_1954_02_11,INSEE_1954_02_11,,,,caduc,,,https://francearchives.gouv.fr/file/9bc1b27fd8bed77697a0def9ce483a84b334fbba/11_02_1954.pdf,,,Circulaire,sans référence,11/02/1954,Institut national de la statistique et des études économiques (France). Direction régionale (chef-lieu de région),INSEE,,,,Circulaire de tri,,population,questionnaire d'enquête,,,,
Versement par les communes des listes nominatives du recensement de 1946,https://francearchives.gouv.fr/circulaire/AD_54_4,AD_54_4,,,,caduc,,,https://francearchives.gouv.fr/file/8ce81b39ae7ad4ea070b51c2cfa88e6ab603b368/AD_54_4.pdf,,,Circulaire,AD 54-4,23/02/1954,Institut national de la statistique et des études économiques (France). Direction régionale (chef-lieu de région),INSEE,,,,Circulaire de tri,,population,liste nominative,,,,
Versement des archives par les organismes d'Électricité de France et de Gaz de France,https://francearchives.gouv.fr/circulaire/AD_55_4,AD_55_4,,,,caduc,,,https://francearchives.gouv.fr/file/4c34906949164dd7476a0fc59dbb468c905cfa1b/AD_55_4.pdf,,,Circulaire,AD 55-4,24/01/1955,Électricité de France et Gaz de France,EDF et GDF,,,,Circulaire de tri,,économie,,,,,
Réforme hypothécaire ; versement aux Archives départementales des documents des conservations ayant plus de cent ans,https://francearchives.gouv.fr/circulaire/AD_55_6,AD_55_6,,,,caduc,,,https://francearchives.gouv.fr/file/11664c78cfebb8d9b2ace248e7b37ed705765172/AD_55_6.pdf,,,Circulaire,AD 55-6,22/02/1955,France. Direction générale des impôts (Conservation des hypothèques),DGI,,,,Circulaire de tri,19e siècle,finances publiques,transcription hypothécaire,,,,
Modalités du versement des archives hypothécaires,https://francearchives.gouv.fr/circulaire/INSEE_1955_04_28,INSEE_1955_04_28,,,,caduc,,,https://francearchives.gouv.fr/file/b31f054259c35d935a9b51d68408493afd35a6ac/28_04_1955.pdf,,,Circulaire,sans référence,28/04/1955,France. Direction générale des impôts (Conservation des hypothèques),DGI,,,,Circulaire de tri,,finances publiques,transcription hypothécaire,,,,
Modalités du versement des archives hypothécaires,https://francearchives.gouv.fr/circulaire/INSEE_1955_05_03,INSEE_1955_05_03,,,,caduc,,,https://francearchives.gouv.fr/file/da32cb9ac2e14cdf0128e2a5b23ca95cd2043ddd/03_05_1955.pdf,,,Circulaire,sans référence,03/05/1955,France. Direction générale des impôts (Conservation des hypothèques),DGI,,,,Circulaire de tri,,finances publiques,transcription hypothécaire,,,,
Conservation et destruction des archives relatives à la détaxe des carburants agricoles,https://francearchives.gouv.fr/circulaire/80AGJ_4,80AGJ_4,Circulaire du ministre de l'agriculture (service central de la détaxe),80AGJ/4,,abrogée,,,https://francearchives.gouv.fr/file/443821e654eb2781485b0563893cf96642194612/80AGJ_4.pdf,,08/08/1955,,,08/08/1955,,,,,,Circulaire de tri,,finances publiques; agriculture,,financement,,,
Fiches médico-scolaires : leur destination en fin de scolarité,https://francearchives.gouv.fr/circulaire/AD_55_24_bis,AD_55_24_bis,,,,caduc,,,https://francearchives.gouv.fr/file/abcfa36d690a72da9dd4073151fbe40f2879646e/AD_55_24_bis.pdf,,,Circulaire,AD 55-24 bis,14/09/1955,"Établissement d'enseignement Nom (commune, département)",,,,,Circulaire de tri,,santé; enseignement,dossier médical,,,,
Arrêtés préfectoraux ; dépôt aux archives départementales,https://francearchives.gouv.fr/circulaire/AD_55_25,AD_55_25,,,,en vigueur,,,https://francearchives.gouv.fr/file/65957bc3bbaaf77f8d2f907b073c30f93a4a08d8/AD_55_25.pdf,,,Circulaire,AD 55-25,16/09/1955,Département. Préfecture,,,,,Circulaire de tri,,administration préfectorale,arrêté préfectoral,,,,
Archives des compagnies républicaines de sécurité,https://francearchives.gouv.fr/circulaire/c01_03_21,c01_03_21,Circulaire du ministre de l'intérieur (état-major des CRS),01/03/21,,abrogée,,,https://francearchives.gouv.fr/file/1359aa34357af59fefe9af745679d05331977ecc/01_03_21.pdf,,07/06/1956,,,07/06/1956,"France. Compagnie républicaine de sécurité (n° ; commune, département)",CRS,28/07/1995,,,Circulaire de tri,,police,,,,AD_95_6,
Transmission des dossiers médicaux et scolaires aux services départementaux des archives,https://francearchives.gouv.fr/circulaire/EDUCATION_1956_07_03,EDUCATION_1956_07_03,Circulaire du ministre de l'éducation nationale,sans référence,,caduc,,,https://francearchives.gouv.fr/file/0e9c8cb906c4687ec01d8fd459ef65ecf10eec77/03_07_1956.pdf,,03/07/1956,,,03/07/1956,"Établissement d'enseignement Nom (commune, département)",,,,,Circulaire de tri,,santé; enseignement,dossier médical,,,,
